,precision,recall,f1-score,support
1,0.9909613804437141,0.9458823529411765,0.9678972712680578,1275.0
10,1.0,0.9607843137254902,0.98,153.0
108,0.9810126582278481,0.9226190476190477,0.950920245398773,168.0
16,1.0,0.8692070030895983,0.9300275482093664,971.0
18,0.9974398361495136,0.9600788565795959,0.9784028126569564,2029.0
2,1.0,0.9896459585838343,0.9947960382742991,2994.0
21,0.8884615384615384,1.0,0.9409368635437881,231.0
22,1.0,1.0,1.0,120.0
26,1.0,1.0,1.0,132.0
28,0.8235294117647058,1.0,0.9032258064516129,224.0
29,1.0,1.0,1.0,136.0
3,1.0,1.0,1.0,88.0
30,1.0,1.0,1.0,135.0
33,0.9896373056994818,0.955,0.9720101781170483,200.0
34,0.8861985472154964,0.8611764705882353,0.8735083532219571,1275.0
35,1.0,1.0,1.0,117.0
36,0.9093137254901961,0.9440203562340967,0.9263420724094882,393.0
38,0.8831168831168831,1.0,0.9379310344827586,136.0
39,1.0,1.0,1.0,209.0
4,0.9992937853107344,1.0,0.9996467679265277,1415.0
40,0.9777777777777777,0.9041095890410958,0.9395017793594306,292.0
42,1.0,0.9652173913043478,0.9823008849557522,230.0
43,1.0,0.9587628865979382,0.9789473684210526,291.0
47,1.0,1.0,1.0,105.0
49,1.0,0.9814814814814815,0.9906542056074767,162.0
5,1.0,0.9747474747474747,0.9872122762148338,198.0
52,0.9931506849315068,0.9177215189873418,0.9539473684210527,158.0
53,1.0,1.0,1.0,120.0
54,0.9814814814814815,0.925764192139738,0.952808988764045,229.0
55,0.8265682656826568,0.797153024911032,0.8115942028985507,281.0
56,0.8626609442060086,1.0,0.9262672811059909,201.0
57,1.0,1.0,1.0,113.0
58,1.0,1.0,1.0,98.0
60,1.0,0.951048951048951,0.974910394265233,143.0
62,1.0,0.8625954198473282,0.9262295081967213,393.0
64,0.9942528735632183,0.9774011299435028,0.9857549857549857,177.0
72,0.538160469667319,0.9786476868327402,0.6944444444444444,281.0
8,1.0,0.8180542563143124,0.899922819655261,2138.0
84,1.0,0.9861751152073732,0.9930394431554525,217.0
9,0.799468791500664,0.9678456591639871,0.8756363636363635,622.0
91,0.5117994100294986,0.9638888888888889,0.6685934489402698,360.0
other,0.9768804949527841,0.9996667777407531,0.9881422924901185,3001.0
accuracy,0.94709828463374,0.94709828463374,0.94709828463374,0.94709828463374
macro avg,0.947884911087453,0.9604451381799848,0.9496560249582777,22211.0
weighted avg,0.9606628394037865,0.94709828463374,0.9502002349666033,22211.0
